# ra, dec
      135.818207,       56.625385
      232.158066,       42.442017
      205.609253,       26.536871
      317.502197,       11.510648
      319.233948,        9.637575
      319.193085,       11.043741
      255.895279,       36.401535
      256.369659,       35.634666
      257.594299,       36.339603
      256.673492,       35.869583
      256.398926,       34.746418
      256.664032,       34.543003
      258.495850,       33.607136
      258.004150,       34.961159
      259.217407,       31.584131
      260.017914,       25.936392
      260.183136,       28.708197
      315.223602,       -0.387635
      317.040161,       -0.250806
      322.451935,       -0.313555
      323.603088,       -0.603227
      323.751617,       -0.511444
      324.833649,       10.540767
      332.798737,       11.800733
      262.074921,       56.774780
      261.284851,       58.764687
      258.846954,       57.432880
      258.960052,       57.366753
      260.228210,       57.097958
      261.081818,       56.876282
      258.827423,       57.658772
      253.427383,       62.419998
      252.170746,       63.479198
      255.716492,       62.604401
       41.493191,       -0.449181
       41.699909,        0.421577
       39.446587,        0.405085
       40.880466,        0.306821
       42.570267,        0.091990
       42.216927,       -0.524053
       42.532761,       -0.266961
       49.487801,       -0.169101
       48.196617,       -1.022854
       49.940136,       -0.077189
       50.160645,       -1.035019
       50.888599,       -0.438536
       49.945915,        0.584580
       50.771996,        0.354299
       50.536137,       -0.836265
       51.327175,       -0.156468
       50.922337,       -0.117034
       51.680008,       -0.769460
       57.243038,       -1.144831
       57.112656,       -0.788730
       57.248383,        0.925977
      112.360260,       40.169189
      112.467751,       39.891499
      112.070732,       40.084106
      112.221359,       41.307812
      110.888512,       41.434906
      111.499298,       42.016682
      113.255211,       42.425121
      114.961861,       44.804344
      114.941879,       44.759052
      115.238060,       45.292202
      116.280205,       46.072422
      113.472275,       37.025906
      113.057014,       39.560074
      112.910995,       39.400536
      112.979706,       39.140133
      116.703575,       43.374840
      116.782608,       43.314075
      116.097923,       44.527740
      115.362663,       32.779320
      114.756035,       31.914709
      117.898468,       42.880116
      117.412476,       42.967075
      116.785721,       40.392941
      116.787163,       42.078716
      116.742607,       42.320969
      120.360092,       44.193623
      117.472420,       45.248482
      119.057152,       44.386124
      118.648987,       44.151814
      119.269012,       40.995148
      119.643311,       41.578407
      120.116653,       41.660648
      114.177124,       29.304911
      115.365631,       29.669178
      117.481133,       29.420208
      118.053215,       28.772579
      117.115997,       28.892662
      118.627846,       25.815987
      119.314392,       27.496016
      148.285934,       31.438305
      147.539017,       33.569347
      148.636734,       31.606731
       40.485298,       -1.199377
       39.617058,       -1.046758
       39.714184,        0.508703
       41.307388,       -0.746138
       38.936317,       -0.188187
       43.560650,        1.029123
       45.156265,       -1.126251
       45.960247,       -0.204457
       54.032425,       -0.596439
       54.564159,        1.001805
       56.110561,       -0.303872
       61.230091,       -6.304808
       61.453262,       -6.323837
      126.059631,       17.331951
      127.170799,       17.581400
      128.687744,       52.715687
      128.164383,       53.233246
      131.381668,       53.959003
      130.821732,       52.757931
      136.671417,       41.365108
      136.842484,       43.275433
      136.719986,       41.408253
      137.377518,       45.952351
      137.874756,       45.468319
      136.793854,       46.211147
      140.218475,       42.708801
      139.427017,       44.100685
      158.017029,       43.859268
      157.845825,       42.277180
      157.597549,       43.725082
      157.660522,       44.012722
      163.501328,       44.470371
      161.261703,       43.704758
      165.153961,       44.097511
      166.509872,       43.173473
      165.011597,       43.905075
      167.059204,       43.624817
      165.795929,       41.705242
      164.627213,       40.875530
      164.497131,       40.827972
      166.621994,       41.036179
      163.734787,       41.498463
      165.568695,       44.271709
      164.642090,       45.812534
      167.776505,       43.633011
      177.971924,       43.348068
      182.356277,       46.549358
      183.612198,       45.195454
      185.570465,       43.736351
      184.543793,       44.400459
      186.180374,       46.278999
      165.795929,       41.705242
      164.497131,       40.827972
      164.470993,       40.862152
      163.734787,       41.498463
      208.289078,       51.812500
      204.597122,       23.972145
      205.282730,       23.282055
      247.155380,       39.698906
      240.960022,       41.521862
      242.682526,       41.148560
      240.658051,       41.293427
      239.987946,       41.477776
      235.759079,       38.660500
      236.165726,       38.425358
      235.057236,       39.904137
      192.269928,       43.833168
      193.433365,       43.249863
      193.703995,       44.155567
      196.611053,       45.289001
      196.232422,       47.503643
      196.755051,       46.309433
      198.491577,       45.704464
      197.891830,       44.933079
      199.061493,       47.599365
      199.375504,       47.783180
      200.281693,       48.697746
      198.743164,       48.194618
      201.561005,       47.300339
      206.144241,       23.796610
      206.612457,       22.076742
      200.120285,       31.351994
      200.937088,       30.476284
      196.793915,       34.298008
      195.116791,       34.379673
      212.729919,       46.061832
      210.054962,       46.432205
      212.116135,       48.200157
