mangaid,objra,objdec,z,emline_sflux_cen_oiii_5008,emline_sflux_1re_oiii_5008,emline_sflux_tot_oiii_5008,emline_sflux_cen_nii_6549,emline_sflux_1re_nii_6549,emline_sflux_tot_nii_6549,emline_sflux_cen_sii_6718,emline_sflux_1re_sii_6718,emline_sflux_tot_sii_6718,emline_sflux_cen_sii_6732,emline_sflux_1re_sii_6732,emline_sflux_tot_sii_6732,emline_sflux_cen_oi_6302,emline_sflux_1re_oi_6302,emline_sflux_tot_oi_6302,emline_sflux_cen_ha_6564,emline_sflux_1re_ha_6564,emline_sflux_tot_ha_6564,emline_sflux_cen_hb_4862,emline_sflux_1re_hb_4862,emline_sflux_tot_hb_4862,emline_sflux_cen_hdel_4102,emline_sflux_1re_hdel_4102,emline_sflux_tot_hdel_4102
1-48157,133.37109375,57.5984268188477,0.0392074,38.24068,273.8889,576.0097,16.94947,84.38675,152.4827,39.653,227.7361,462.7014,28.29213,158.7701,310.6813,6.845381,43.54029,98.81615,162.1695,968.2791,1904.091,42.38327,267.6986,538.5283,12.31881,56.71313,101.6093
1-48157,133.37109375,57.5984268188477,0.0392074,38.24068,250.2329,411.1863,16.94952,78.37074,114.4371,39.65302,209.2624,326.2172,28.29212,146.6508,227.5976,6.845376,38.76632,66.29457,162.1696,891.791,1378.741,42.3836,246.4691,387.9734,12.31763,51.11149,69.9
1-48188,133.685668945313,57.4802513122559,0.0408108,6.032674,34.1403,192.951,2.257536,22.64379,75.49507,9.561117,68.42369,237.6976,5.534843,44.49592,160.3043,1.579613,16.6208,38.75344,25.0244,222.2083,788.698,9.67797,75.45597,256.0023,1.093953,8.769832,12.25785
1-48188,133.685668945313,57.4802513122559,0.0408108,1.255285,2.348994,3.09736,0.57379,1.318909,1.576082,2.091334,4.362926,5.170488,1.160912,2.674904,3.221728,0.4187405,1.084738,1.205208,5.454563,12.90008,15.5914,2.100029,4.676456,5.571885,0.1365591,0.7588682,0.8182241
1-55648,136.017166137695,57.0923309326172,0.0462094,6.744556,78.72328,557.1756,13.97941,91.77643,209.58,16.09708,130.212,380.6325,11.12063,95.02425,271.2899,2.80585,33.65935,94.40111,94.74142,686.5377,1838.555,17.45938,149.2673,490.2822,5.558631,36.8344,127.8088
1-55648,136.017166137695,57.0923309326172,0.0462094,6.744476,50.94463,73.0034,13.97945,69.15479,77.53568,16.0971,92.23426,108.7805,11.12064,66.43581,77.97092,2.805855,24.94695,28.79787,94.74159,500.9165,578.6129,17.45916,105.4224,125.7984,5.558173,24.73426,30.52073
1-55616,133.989959716797,57.6779670715332,0.0141215,10.63928,407.8815,543.913,22.14807,414.7643,533.2339,37.88741,779.5847,1041.326,25.68339,550.6824,763.4362,9.245705,157.1577,224.6664,141.5943,3280.59,4080.851,24.07299,703.6548,957.9288,8.084487,159.0327,193.1032
1-55616,133.989959716797,57.6779670715332,0.0141215,10.63917,358.881,378.8349,22.14812,377.3204,392.2875,37.88744,699.7219,733.4296,25.68339,493.4472,518.8708,9.24571,138.4576,146.6182,141.5945,2983.527,3105.573,24.07224,628.8281,662.1526,8.084899,144.8915,149.0857
1-55784,136.751373291016,57.4514350891113,0.0462349,11.45616,144.3527,918.7269,27.06384,204.6703,452.8559,33.96074,311.835,827.0222,23.29969,219.1245,581.8851,3.528275,49.15932,150.5345,225.9613,1667.136,4153.071,50.12808,418.4798,1149.664,12.36591,101.2429,292.9716
1-55784,136.751373291016,57.4514350891113,0.0462349,11.45622,144.3526,286.3722,27.06391,204.6703,279.2791,33.96076,311.8349,458.5685,23.29969,219.1245,322.2457,3.528284,49.15931,75.12376,225.9612,1667.136,2362.834,50.12845,418.4793,612.5079,12.36579,101.2453,152.5563
1-55567,133.330032348633,57.0411567687988,0.0257497,10.37883,19.0208,45.36935,22.68651,39.07832,88.52261,34.44149,60.43839,137.238,21.60222,38.32312,85.68694,5.247058,9.517111,8.631267,118.8955,205.1128,413.551,25.99421,43.82624,93.01509,7.055854,12.51559,13.82004
1-55567,133.330032348633,57.0411567687988,0.0257497,10.07861,17.80891,24.10239,22.00532,36.3996,47.37386,33.2372,55.75229,73.89391,20.84735,35.2143,46.47228,5.070577,8.929026,11.09131,115.1216,190.279,240.3711,25.05973,40.38408,51.78029,6.787415,11.37774,13.15909
1-48201,134.193923950195,56.7867469787598,0.0253909,8.054865,31.29842,55.81005,4.498921,13.50704,14.973,-5.806869,-3.983368,-4.533905,4.569309,9.470246,13.46287,6.233286,19.69155,30.07468,4.091868,18.30995,31.99404,-1.10506,-6.665546,-13.56933,-0.3526881,-1.6454,0.83241
1-48201,134.193923950195,56.7867469787598,0.0253909,9.100276,37.67746,55.27087,3.681314,13.51384,14.09813,-4.577815,-2.779835,-3.498534,2.62365,7.405082,10.97444,7.464629,20.34877,28.30824,3.804893,17.60011,28.71832,-1.801612,-8.593458,-15.30297,1.48564,0.5617726,2.369544
1-48111,132.46565246582,57.143726348877,0.0394191,0.01537943,0.6884814,-2.502163,1.313388,0.6610309,-0.3481771,1.345183,-0.1669376,0.713168,3.690665,4.368831,9.382781,0.3087019,0.6315375,14.89067,2.361392,1.937122,12.08226,-2.037207,-2.707055,-4.897625,-0.5996904,-1.911097,-12.91784
1-48111,132.46565246582,57.143726348877,0.0394191,-0.2494562,0.4123057,-0.04085188,1.410111,0.8096801,-0.1539891,1.314109,-0.02396351,-1.214523,3.603545,4.453717,6.245987,0.2219303,0.6126122,4.294976,2.481317,2.0376,3.663877,-2.079398,-2.973106,-2.913668,-0.4010845,-1.793541,-5.214577
1-48136,132.91276550293,57.107421875,0.0256063,100.6574,302.3441,342.9954,217.676,609.5493,680.238,275.1578,783.1485,865.2399,213.3012,590.6203,649.801,18.9488,71.17923,71.42155,1471.4,3849.42,4119.891,364.1096,1028.332,1094.055,86.50668,247.6537,274.2207
1-48136,132.91276550293,57.107421875,0.0256063,100.6574,302.2785,311.7142,217.676,609.1118,623.8929,275.1577,782.5924,800.9042,213.3014,590.2584,603.2766,18.94879,71.23682,71.8857,1471.399,3847.053,3910.789,364.1086,1027.76,1044.107,86.50627,247.5885,252.2087
1-55612,134.591491699219,57.6849670410156,0.0405528,78.31982,147.9818,432.4164,35.16217,62.83607,131.2783,54.70202,105.4286,281.3155,40.46332,77.25741,194.9144,10.26205,18.66045,60.53194,227.5762,440.4866,1155.117,55.01429,109.5074,313.1273,12.81518,26.02301,66.04086
1-55612,134.591491699219,57.6849670410156,0.0405528,78.31981,147.9818,219.82,35.16213,62.8361,86.12127,54.702,105.4286,154.8648,40.46335,77.2575,111.8358,10.26203,18.66045,28.5518,227.5759,440.4856,643.7305,55.014,109.5076,164.7073,12.8137,26.02103,38.91138
